cell,num_people,std_dev_x,std_dev_y
"(50, 0, 60, 10)",0,0,0
"(50, 10, 60, 20)",0,0,0
"(50, 20, 60, 30)",0,0,0
"(50, 30, 60, 40)",0,0,0
"(50, 40, 60, 50)",0,0,0
"(50, 50, 60, 60)",1,0,0
"(50, 60, 60, 70)",0,0,0
"(50, 70, 60, 80)",0,0,0
"(50, 80, 60, 90)",0,0,0
"(50, 90, 60, 100)",0,0,0
"(60, -50, 70, -40)",0,0,0
"(60, -40, 70, -30)",0,0,0
"(60, -30, 70, -20)",0,0,0
"(60, -20, 70, -10)",0,0,0
"(60, -10, 70, 0)",0,0,0
"(60, 0, 70, 10)",0,0,0
"(60, 10, 70, 20)",0,0,0
"(60, 20, 70, 30)",0,0,0
"(60, 30, 70, 40)",0,0,0
"(60, 40, 70, 50)",0,0,0
"(60, 50, 70, 60)",1,0,0
"(60, 60, 70, 70)",0,0,0
"(60, 70, 70, 80)",0,0,0
"(60, 80, 70, 90)",0,0,0
"(60, 90, 70, 100)",0,0,0
"(70, -50, 80, -40)",0,0,0
"(70, -40, 80, -30)",0,0,0
"(70, -30, 80, -20)",0,0,0
"(70, -20, 80, -10)",0,0,0
"(70, -10, 80, 0)",0,0,0
"(70, 0, 80, 10)",0,0,0
"(70, 10, 80, 20)",0,0,0
"(70, 20, 80, 30)",0,0,0
"(70, 30, 80, 40)",0,0,0
"(70, 40, 80, 50)",0,0,0
"(70, 50, 80, 60)",1,0,0
"(70, 60, 80, 70)",0,0,0
"(70, 70, 80, 80)",0,0,0
"(70, 80, 80, 90)",0,0,0
"(70, 90, 80, 100)",0,0,0
"(80, -50, 90, -40)",0,0,0
"(80, -40, 90, -30)",0,0,0
"(80, -30, 90, -20)",0,0,0
"(80, -20, 90, -10)",0,0,0
"(80, -10, 90, 0)",0,0,0
"(80, 0, 90, 10)",0,0,0
"(80, 10, 90, 20)",0,0,0
"(80, 20, 90, 30)",0,0,0
"(80, 30, 90, 40)",0,0,0
"(80, 40, 90, 50)",0,0,0
"(80, 50, 90, 60)",1,0,0
"(80, 60, 90, 70)",1,0,0
"(80, 70, 90, 80)",0,0,0
"(80, 80, 90, 90)",0,0,0
"(80, 90, 90, 100)",0,0,0
"(90, -50, 100, -40)",0,0,0
"(90, -40, 100, -30)",0,0,0
"(90, -30, 100, -20)",0,0,0
"(90, -20, 100, -10)",0,0,0
"(90, -10, 100, 0)",0,0,0
"(90, 0, 100, 10)",0,0,0
"(90, 10, 100, 20)",0,0,0
"(90, 20, 100, 30)",0,0,0
"(90, 30, 100, 40)",0,0,0
"(90, 40, 100, 50)",0,0,0
"(90, 50, 100, 60)",0,0,0
"(90, 60, 100, 70)",1,0,0
"(90, 70, 100, 80)",0,0,0
"(90, 80, 100, 90)",0,0,0
"(90, 90, 100, 100)",0,0,0
